ID,Total Edits,Edit Time,Date
140376,58,21496,3/6/2015
140376,55,22967,3/8/2015
140376,92,23409,3/9/2015
140376,73,23365,3/10/2015
140376,57,24917,3/11/2015
140376,64,24781,3/13/2015
140376,19,10834,3/15/2015
140376,57,24869,3/16/2015
140376,47,23413,3/17/2015
140376,52,26355,3/18/2015
140376,41,24383,3/20/2015
140376,49,21443,3/22/2015
140463,59,22407,3/2/2015
140463,53,22761,3/3/2015
140463,56,24764,3/4/2015
140463,46,23516,3/5/2015
140463,70,22085,3/6/2015
140463,70,26478,3/7/2015
140463,49,21824,3/9/2015
140463,53,21507,3/10/2015
140463,55,26253,3/11/2015
140463,56,25520,3/12/2015
140463,55,23408,3/13/2015
140463,72,25675,3/14/2015
140463,74,20883,3/16/2015
140463,72,22715,3/17/2015
140463,59,26021,3/18/2015
140463,67,22075,3/19/2015
140463,78,22595,3/20/2015
140463,77,25576,3/21/2015
140467,80,21669,3/9/2015
140467,75,21105,3/10/2015
140467,92,26809,3/11/2015
140467,66,22731,3/12/2015
140467,78,23780,3/13/2015
140467,85,26349,3/14/2015
140467,83,21610,3/16/2015
140467,82,22610,3/17/2015
140467,96,26662,3/18/2015
140467,74,22106,3/19/2015
140467,84,21946,3/20/2015
140467,102,26108,3/21/2015
140469,119,29099,3/9/2015
140469,80,18841,3/10/2015
140469,91,26781,3/11/2015
140469,86,21335,3/12/2015
140469,79,26354,3/13/2015
140469,65,23296,3/15/2015
140469,75,20322,3/16/2015
140469,72,22241,3/17/2015
140469,77,22397,3/18/2015
140469,87,23259,3/19/2015
140469,73,20484,3/20/2015
140469,94,26964,3/21/2015
140476,70,17374,3/2/2015
140476,57,15878,3/3/2015
140476,59,17791,3/4/2015
140476,89,19525,3/5/2015
140476,78,18286,3/6/2015
140476,84,21548,3/7/2015
140476,74,22092,3/9/2015
140476,89,19761,3/10/2015
140476,64,17359,3/11/2015
140476,54,16050,3/12/2015
140476,93,20964,3/13/2015
140476,88,22732,3/14/2015
140476,67,18217,3/16/2015
140476,87,18178,3/17/2015
140476,88,21580,3/18/2015
140476,71,19538,3/19/2015
140476,73,19370,3/20/2015
140476,97,22953,3/21/2015
140479,60,14319,3/1/2015
140479,58,14255,3/3/2015
140479,49,14204,3/4/2015
140479,46,14249,3/5/2015
140479,74,14835,3/6/2015
140479,70,13530,3/7/2015
140479,61,13295,3/10/2015
140479,59,13971,3/11/2015
140479,53,13060,3/12/2015
140479,31,7446,3/13/2015
140479,55,15146,3/14/2015
140479,61,13809,3/17/2015
140479,58,14868,3/18/2015
140479,53,13641,3/19/2015
140479,63,13577,3/20/2015
140480,77,23644,3/1/2015
140480,70,23177,3/2/2015
140480,60,19741,3/3/2015
140480,48,19907,3/4/2015
140480,58,22453,3/5/2015
140480,53,19892,3/6/2015
140480,77,23221,3/8/2015
140480,55,20119,3/9/2015
140480,51,17253,3/10/2015
140480,60,21021,3/11/2015
140480,46,20392,3/12/2015
140480,62,19686,3/13/2015
140480,70,23276,3/15/2015
140480,70,24007,3/16/2015
140480,59,20110,3/17/2015
140480,64,18332,3/18/2015
140480,67,20124,3/19/2015
140480,62,19491,3/20/2015
140484,102,27112,3/2/2015
140484,72,22744,3/3/2015
140484,67,22945,3/4/2015
140484,99,24398,3/5/2015
140484,89,22190,3/6/2015
140484,94,26300,3/7/2015
140484,86,24888,3/9/2015
140484,92,22907,3/10/2015
140484,82,24371,3/11/2015
140484,85,23757,3/12/2015
140484,93,27594,3/14/2015
140484,83,22003,3/15/2015
140484,95,26993,3/16/2015
140484,82,21935,3/17/2015
140484,89,23340,3/18/2015
140484,98,23653,3/19/2015
140484,70,22490,3/20/2015
140486,55,18962,3/2/2015
140486,52,19284,3/3/2015
140486,52,19559,3/4/2015
140486,57,20596,3/5/2015
140486,48,18454,3/6/2015
140486,44,20421,3/7/2015
140486,46,11296,3/9/2015
140486,62,19781,3/10/2015
140486,50,19441,3/11/2015
140486,55,20209,3/12/2015
140486,53,19572,3/13/2015
140486,49,19322,3/14/2015
140486,48,21051,3/16/2015
140486,45,20344,3/17/2015
140486,57,20155,3/18/2015
140486,58,19525,3/19/2015
140486,65,21049,3/20/2015
